,SAFE,LOW_RISK,MODERATE_RISK,HIGH_RISK,VERY_HIGH_RISK
SAFE,47,9,0,0,0
LOW_RISK,0,7,1,0,0
MODERATE_RISK,0,2,0,0,0
HIGH_RISK,0,0,0,0,0
VERY_HIGH_RISK,0,0,0,0,0
