confidence_bin,n,accuracy,mean_abs_error,mean_confidence
"(0.4, 0.6]",3,0.3333333333333333,0.6666666666666666,0.5098838
"(0.6, 0.8]",14,0.5714285714285714,0.42857142857142855,0.7061557
"(0.8, 1.0]",49,0.8163265306122449,0.1836734693877551,0.9152609
