,precision,recall,f1-score,support
SAFE,0.8703703703703703,0.8245614035087719,0.8468468468468469,57.0
LOW_RISK,0.16666666666666666,0.2222222222222222,0.19047619047619047,9.0
MODERATE_RISK,0.0,0.0,0.0,0.0
HIGH_RISK,0.0,0.0,0.0,0.0
VERY_HIGH_RISK,0.0,0.0,0.0,0.0
accuracy,0.7424242424242424,0.7424242424242424,0.7424242424242424,0.7424242424242424
macro avg,0.2074074074074074,0.20935672514619882,0.20746460746460746,66.0
weighted avg,0.7744107744107743,0.7424242424242424,0.7573417573417575,66.0
