chunk_start,chunk_end,status,error
2024-12-31,2025-01-29,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', '-m', 'data_science.collect_flood_labels_gfm_stac', '--aois', 'data/aois_bulgaria.json', '--start', '2024-12-31', '--end', '2025-01-29', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
2024-12-01,2024-12-30,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', '-m', 'data_science.collect_flood_labels_gfm_stac', '--aois', 'data/aois_bulgaria.json', '--start', '2024-12-01', '--end', '2024-12-30', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
2024-11-01,2024-11-30,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', '-m', 'data_science.collect_flood_labels_gfm_stac', '--aois', 'data/aois_bulgaria.json', '--start', '2024-11-01', '--end', '2024-11-30', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
2024-10-02,2024-10-31,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', '-m', 'data_science.collect_flood_labels_gfm_stac', '--aois', 'data/aois_bulgaria.json', '--start', '2024-10-02', '--end', '2024-10-31', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
2024-09-02,2024-10-01,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', '-m', 'data_science.collect_flood_labels_gfm_stac', '--aois', 'data/aois_bulgaria.json', '--start', '2024-09-02', '--end', '2024-10-01', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
2024-08-03,2024-09-01,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', '-m', 'data_science.collect_flood_labels_gfm_stac', '--aois', 'data/aois_bulgaria.json', '--start', '2024-08-03', '--end', '2024-09-01', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
2024-07-04,2024-08-02,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', '-m', 'data_science.collect_flood_labels_gfm_stac', '--aois', 'data/aois_bulgaria.json', '--start', '2024-07-04', '--end', '2024-08-02', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
2024-06-04,2024-07-03,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', '-m', 'data_science.collect_flood_labels_gfm_stac', '--aois', 'data/aois_bulgaria.json', '--start', '2024-06-04', '--end', '2024-07-03', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
2024-05-05,2024-06-03,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', '-m', 'data_science.collect_flood_labels_gfm_stac', '--aois', 'data/aois_bulgaria.json', '--start', '2024-05-05', '--end', '2024-06-03', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
2024-04-24,2024-05-04,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', '-m', 'data_science.collect_flood_labels_gfm_stac', '--aois', 'data/aois_bulgaria.json', '--start', '2024-04-24', '--end', '2024-05-04', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
2026-03-26,2026-04-24,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', 'C:\\Users\\alexr\\hydro-twin\\data_science\\collect_flood_labels_gfm_stac.py', '--aois', 'data/aois_bulgaria.json', '--start', '2026-03-26', '--end', '2026-04-24', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
2026-02-24,2026-03-25,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', 'C:\\Users\\alexr\\hydro-twin\\data_science\\collect_flood_labels_gfm_stac.py', '--aois', 'data/aois_bulgaria.json', '--start', '2026-02-24', '--end', '2026-03-25', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
